DATE,IRSTCI01USQ156N
1990-01-01,8.28
1990-04-01,8.29
1990-07-01,8.2
1990-10-01,7.31
1991-01-01,6.12
1991-04-01,5.9
1991-07-01,5.45
1991-10-01,4.43
1992-01-01,3.98
1992-04-01,3.76
1992-07-01,3.22
1992-10-01,2.92
1993-01-01,3.07
1993-04-01,3.04
1993-07-01,3.09
1993-10-01,2.96
1994-01-01,3.34
1994-04-01,4.25
1994-07-01,4.73
1994-10-01,5.45
1995-01-01,5.98
1995-04-01,6
1995-07-01,5.8
1995-10-01,5.6
1996-01-01,5.31
1996-04-01,5.27
1996-07-01,5.3
1996-10-01,5.29
1997-01-01,5.39
1997-04-01,5.56
1997-07-01,5.54
1997-10-01,5.5
1998-01-01,5.49
1998-04-01,5.56
1998-07-01,5.51
1998-10-01,4.68
1999-01-01,4.81
1999-04-01,4.76
1999-07-01,5.22
1999-10-01,5.3
2000-01-01,5.85
2000-04-01,6.53
2000-07-01,6.52
2000-10-01,6.4
2001-01-01,5.31
2001-04-01,3.97
2001-07-01,3.07
2001-10-01,1.82
2002-01-01,1.73
2002-04-01,1.75
2002-07-01,1.75
2002-10-01,1.24
2003-01-01,1.25
2003-04-01,1.22
2003-07-01,1.01
2003-10-01,0.98
2004-01-01,1
2004-04-01,1.03
2004-07-01,1.61
2004-10-01,2.16
2005-01-01,2.63
2005-04-01,3.04
2005-07-01,3.62
2005-10-01,4.16
2006-01-01,4.59
2006-04-01,4.99
2006-07-01,5.25
2006-10-01,5.24
2007-01-01,5.26
2007-04-01,5.25
2007-07-01,4.94
2007-10-01,4.24
2008-01-01,2.61
2008-04-01,2
2008-07-01,1.81
2008-10-01,0.16
2009-01-01,0.18
2009-04-01,0.21
2009-07-01,0.15
2009-10-01,0.12
2010-01-01,0.16
2010-04-01,0.18
2010-07-01,0.19
2010-10-01,0.18
2011-01-01,0.14
2011-04-01,0.09
2011-07-01,0.08
2011-10-01,0.07
2012-01-01,0.13
2012-04-01,0.16
2012-07-01,0.14
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.09
2013-07-01,0.08
2013-10-01,0.09
2014-01-01,0.08
2014-04-01,0.1
2014-07-01,0.09
2014-10-01,0.12
2015-01-01,0.11
2015-04-01,0.13
2015-07-01,0.14
2015-10-01,0.24
2016-01-01,0.36
2016-04-01,0.38
2016-07-01,0.4
2016-10-01,0.54
2017-01-01,0.79
2017-04-01,1.04
2017-07-01,1.15
2017-10-01,1.3
2018-01-01,1.51
2018-04-01,1.82
2018-07-01,1.95
2018-10-01,2.27
2019-01-01,2.41
2019-04-01,2.38
2019-07-01,2.04
2019-10-01,1.55
2020-01-01,0.65
2020-04-01,0.08
2020-07-01,0.09
2020-10-01,0.09
2021-01-01,0.07
2021-04-01,0.08
2021-07-01,0.08
2021-10-01,0.08
2022-01-01,0.2
2022-04-01,1.21
2022-07-01,2.56
2022-10-01,4.1
2023-01-01,4.65
2023-04-01,5.08
2023-07-01,5.33
2023-10-01,5.33
